CHAVE_INTERNA,PORTUGUES,INGLES,NORUEGUES
programs.be-the-dance.workshops.be-the-dance-day.shortDescription,"Dançar e celebrar","Dance and celebrate","Å danse og feire"
programs.be-the-dance.workshops.be-the-dance-day.title,"BE THE DANCE DAY","BE THE DANCE DAY","BE THE DANCE DAY"
programs.be-the-dance.workshops.be-the-dance-pro.fullDescription,"Você já é bailarino. Agora, seja a dança.

A técnica é o instrumento através do qual o bailarino expressa a sua arte. Mas existe algo além dela: uma presença, uma qualidade de entrega, uma forma de estar no movimento que faz com que alguns bailarinos sejam capazes de capturar a nossa atenção e nos tocar de uma maneira única.
O que é presença?

Neste workshop, investigamos esse “algo mais”. Um convite para ir além da execução, do intelecto e da mente que observa e controla, e mergulhar numa experiência de presença, consciência e entrega.

Através de práticas de educação somática, meditação, improvisação guiada e outras ferramentas de exploração do movimento, criamos espaço para escutar o corpo, ampliar a percepção e descobrir novas possibilidades de estar em cena.

Mais do que acrescentar novas ferramentas à técnica, Be The Dance Pro propõe uma jornada para dentro de si. Uma investigação sobre o que acontece quando deixamos de apenas fazer a dança e permitimos que ela aconteça através de nós.
O que é carisma?

​
Be The Dance Pro é uma experiência de presença e totalidade. Um espaço para aprofundar a relação entre corpo, mente e movimento e descobrir aquilo que torna cada bailarino único. Uma busca por se perder na dança para encontrar aquele lugar onde bailarino e dança deixam de ser duas coisas diferentes.

O momento em que o bailarino é a própria dança.","You are already a dancer. Now, be the dance.

Technique is the instrument through which the dancer expresses their art. But there is something beyond it: a presence, a quality of surrender, a way of being in the movement that makes some dancers capable of capturing our attention and touching us in a unique way.
What is presence?

In this workshop, we investigate this “something more”. An invitation to go beyond execution, the intellect, and the mind that observes and controls, and dive into an experience of presence, awareness, and surrender.

Through practices of somatic education, meditation, guided improvisation, and other tools for movement exploration, we create space to listen to the body, expand perception, and discover new possibilities of being on stage.

More than adding new tools to technique, Be The Dance Pro proposes a journey inward. An investigation into what happens when we stop merely doing the dance and allow it to happen through us.
What is charisma?

​
Be The Dance Pro is an experience of presence and totality. A space to deepen the relationship between body, mind, and movement and discover what makes each dancer unique. A quest to lose oneself in the dance to find that place where dancer and dance cease to be two different things.

The moment the dancer is the dance itself.","Du er allerede en danser. Nå, vær dansen.

Teknikk er instrumentet som danseren uttrykker sin kunst gjennom. Men det er noe forbi den: en tilstedeværelse, en kvalitet av overgivelse, en måte å være i bevegelsen på som gjør noen dansere i stand til å fange vår oppmerksomhet og berøre oss på en unik måte.
Hva er tilstedeværelse?

I denne workshopen undersøker vi dette «noe mer». En invitasjon til å gå utover utførelse, intellektet og sinnet som observerer og kontrollerer, og dykke ned i en opplevelse av tilstedeværelse, bevissthet og overgivelse.

Gjennom praksiser innen somatisk utdanning, meditasjon, veiledet improvisasjon og andre verktøy for bevegelsesutforskning, skaper vi rom for å lytte til kroppen, utvide persepsjonen og oppdage nye muligheter for å være på scenen.

Mer enn å legge til nye verktøy til teknikken, foreslår Be The Dance Pro en reise innover. En undersøkelse av hva som skjer når vi slutter å bare gjøre dansen og lar den skje gjennom oss.
Hva er karisma?

​
Be The Dance Pro er en opplevelse av tilstedeværelse og totalitet. Et rom for å utdype forholdet mellom kropp, sinn og bevegelse og oppdage hva som gjør hver danser unik. En søken etter å miste seg selv i dansen for å finne det stedet hvor danser og dans slutter å være to forskjellige ting.

Øyeblikket hvor danseren er selve dansen."
programs.be-the-dance.workshops.be-the-dance-pro.shortDescription,"Mergulhando para além da técnica","Diving beyond technique","Å dykke forbi teknikken"
programs.be-the-dance.workshops.be-the-dance-pro.title,"BE THE DANCE PRO","BE THE DANCE PRO","BE THE DANCE PRO"
programs.be-the-dance.workshops.be-total.closingAuthor,"Kabir","Kabir","Kabir"
programs.be-the-dance.workshops.be-total.closingQuote,"DANÇA, meu coração. Dança hoje com alegria.","DANCE, my heart. Dance today with joy.","DANS, mitt hjerte. Dans i dag med glede."
programs.be-the-dance.workshops.be-total.fullDescription,"Dançar é ser inteiro. É não guardar nada.
Sem se proteger, sem hesitar, sem guardar energia. Quando nos permitimos estar por inteiro no que fazemos, o corpo encontra liberdade para se expressar com espontaneidade e verdade.
Neste workshop, exploramos a entrega total ao momento. Um convite para confiar no impulso, comprometer-se plenamente com cada gesto e deixar que o corpo se expresse sem reservas.
Não se trata de fazer mais, mas de estar completamente presente no que fazemos. De colocar tudo no movimento e permitir que cada gesto seja vivido por inteiro.
Be Total é uma experiência de entrega e expressão. Um espaço para estar totalmente presente, sem poupar energia e descobrir o que acontece quando nos permitimos dançar sem reservas.","To dance is to be whole. It is holding nothing back.
Without protecting yourself, without hesitating, without saving energy. When we allow ourselves to be fully in what we do, the body finds the freedom to express itself with spontaneity and truth.
In this workshop, we explore total surrender to the moment. An invitation to trust the impulse, commit fully to each gesture, and let the body express itself without reservation.
It is not about doing more, but about being completely present in what we do. About putting everything into the movement and allowing each gesture to be lived entirely.
Be Total is an experience of surrender and expression. A space to be totally present, without saving energy, and discover what happens when we allow ourselves to dance without reservation.","Å danse er å være hel. Det er å ikke holde noe tilbake.
Uten å beskytte deg selv, uten å nøle, uten å spare på energien. Når vi tillater oss selv å være helt til stede i det vi gjør, finner kroppen friheten til å uttrykke seg med spontanitet og sannhet.
I denne workshopen utforsker vi total overgivelse til øyeblikket. En invitasjon til å stole på impulsen, forplikte seg fullt ut til hver bevegelse, og la kroppen uttrykke seg uforbeholdent.
Det handler ikke om å gjøre mer, men om å være helt til stede i det vi gjør. Om å legge alt i bevegelsen og la hver gest bli levd fullt ut.
Be Total er en opplevelse av overgivelse og uttrykk. Et rom for å være helt til stede, uten å spare energi, og oppdage hva som skjer når vi tillater oss å danse uforbeholdent."
programs.be-the-dance.workshops.be-total.shortDescription,"Estando por inteiro","Being whole","Å være hel"
programs.be-the-dance.workshops.be-total.title,"Be Total","Be Total","Be Total"
programs.be-the-dance.workshops.be-water.closingAuthor,"Bruce Lee","Bruce Lee","Bruce Lee"
programs.be-the-dance.workshops.be-water.closingQuote,"Seja como a água, meu amigo. Esvazie sua mente. Seja sem forma, sem contorno, como a água. Se você colocar água em um xícara, ela se torna a xícara. Se você colocar água em uma garrafa, ela se torna a garrafa. Se você colocá-la em um bule, ela se torna o bule. A água pode fluir ou pode se chocar. Seja como a água, meu amigo.","Be Water, My Friend. Empty your mind. Be formless, shapeless, like water. You put water into a cup, it becomes the cup. You put water into a bottle, it becomes the bottle. You put it into a teapot, it becomes the teapot. Now water can flow or it can crash. Be water, my friend.","Vær vann, min venn. Tøm sinnet ditt. Vær formløs, uten fasong, som vann. Fyller du vann i en kopp, blir det koppen. Fyller du vann i en flaske, blir det flasken. Fyller du det i en tekanne, blir det tekannen. Nå kan vann strømme, eller det kan knuse. Vær vann, min venn."
programs.be-the-dance.workshops.be-water.fullDescription,"Entregar-se ao movimento é encontrar o fluxo.
Quando deixamos de tentar conduzir cada gesto, o corpo encontra naturalmente novos caminhos. O movimento torna-se mais livre e orgânico, guiado pela escuta e pela sensação.
Neste workshop, exploramos o fluir como possibilidade de expressão. Um convite para experimentar o movimento sem resistência, confiar no corpo e permitir que uma ação conduza naturalmente à seguinte.
Como a água, que encontra o seu caminho sem precisar lutar contra ele, aprendemos a acompanhar o movimento em vez de controlá-lo.
Be Water é uma experiência de entrega. Um espaço para deixar o corpo seguir o seu próprio fluxo e descobrir a dança que surge quando simplesmente nos deixamos levar.","Surrendering to movement is finding the flow.
When we stop trying to direct every gesture, the body naturally finds new paths. Movement becomes freer and more organic, guided by listening and sensation.
In this workshop, we explore flowing as a possibility of expression. An invitation to experience movement without resistance, trust the body, and allow one action to naturally lead to the next.
Like water, which finds its way without needing to fight against it, we learn to accompany movement instead of controlling it.
Be Water is an experience of surrender. A space to let the body follow its own flow and discover the dance that emerges when we simply let go.","Å overgi seg til bevegelsen er å finne flyten.
Når vi slutter å prøve å styre hver eneste bevegelse, finner kroppen naturlig nye veier. Bevegelsen blir friere og mer organisk, veiledet av å lytte og føle.
I denne workshopen utforsker vi å flyte som en mulighet for uttrykk. En invitasjon til å oppleve bevegelse uten motstand, stole på kroppen og la én handling naturlig føre til den neste.
Som vannet, som finner sin vei uten å måtte kjempe mot den, lærer vi å følge bevegelsen i stedet for å kontrollere den.
Be Water er en opplevelse av overgivelse. Et rom for å la kroppen følge sin egen flyt og oppdage dansen som oppstår når vi rett og slett gir slipp."
programs.be-the-dance.workshops.be-water.shortDescription,"Soltando e fluindo","Letting go and flowing","Å gi slipp og flyte"
programs.be-the-dance.workshops.be-water.title,"Be Water","Be Water","Be Water"
programs.biostretch.corporate.description,"Biostretch in Company.","Biostretch in Company.","Biostretch in Company."
programs.biostretch.corporate.title,"Formato para Empresas","Corporate Format","Bedriftsformat"
programs.biostretch.description,"Biostretch é um sistema de exercícios...","Biostretch é um sistema de exercícios...","Biostretch é um sistema de exercícios..."
programs.biostretch.individualSessions.description,"Atendimento personalizado de Biostretch.","Personalized Biostretch sessions.","Personlige Biostretch-økter."
programs.biostretch.individualSessions.title,"Sessões Individuais","Individual Sessions","Individuelle Timer"
programs.biostretch.origin.cv_link_text,"Ver currículo completo","View full resume","Se hele CV-en"
programs.biostretch.origin.cv_url,"/safia","/safia","/safia"
programs.biostretch.origin.paragraphs,"[""Tudo começou em Nova York."",""Eu estava em busca de novas formas de expressar a dança. Queria ir além do que já conhecia, atravessar as fronteiras do corpo que havia aprendido a dominar. E foi assim que cheguei à Big Apple. Fui para estudar dança moderna, mais especificamente uma abordagem chamada Release Technique."",""[SILVER]E então, tudo aquilo que eu sabia sobre dança começou a ruir."",""Eu vinha do ballet clássico, um universo de formas precisas, movimentos codificados, linhas cuidadosamente construídas, músculos treinados para obedecer. No Release, era quase o contrário. O movimento não precisava ser imposto ao corpo. Ele podia nascer dentro dele."",""Um pequeno impulso, uma mudança de peso, uma respiração, uma relação com a gravidade e algo começava a se mover. O corpo parecia encontrar seus próprios caminhos. O esqueleto, nossa estrutura mais básica e profunda, tornava-se ponto de partida para infinitas possibilidades."",""Foi difícil. E profundamente instigante."",""Meu corpo ainda estava preso ao ballet. Demorei meses apenas para conseguir soltar a barriga. Para respirar de uma maneira mais natural. Para permitir que o corpo deixasse de estar permanentemente preparado para executar e começasse, simplesmente, a sentir. Era uma desconstrução."",""[GOLD]Um mergulho no desconhecido."",""Foi nesse período que fui apresentada a diferentes métodos de Educação Somática. Apaixonei-me imediatamente."",""Passei a procurar essas práticas em todos os lugares, em todas as aulas que encontrava. E, pouco a pouco, comecei a perceber algo que mudaria para sempre a minha relação com o movimento: talvez o corpo não precisasse de mais esforço. Talvez precisasse de mais escuta."",""Essas práticas, geralmente gentis com o corpo, partem de uma ideia poderosa: existe uma inteligência corporal inerente em nós. E quando aprendemos a escutá-la, quando desenvolvemos consciência do movimento, abrimos caminhos para mais saúde, liberdade e presença."",""Primeiro, percebi o quanto isso era essencial para bailarinos. Depois, percebi que era essencial para todos. Para quem passa horas diante de um computador. Para quem trabalha em pé. Para quem pratica esportes. Para quem sente dores, tensões ou limitações. Para quem simplesmente deseja conhecer melhor o próprio corpo e descobrir uma maneira mais livre de se mover pela vida."",""[SILVER]Mas havia ainda outra descoberta."",""Quanto mais eu praticava, mais percebia que aquele trabalho não dizia respeito apenas ao corpo. Ele colocava em questão alguns dos pilares sobre os quais construímos a vida moderna: esforço, competência, produtividade, eficiência e controle. Vivemos em uma cultura que nos ensina a fazer mais, mais rápido, melhor. A controlar. A superar. A conquistar."",""E se, por alguns instantes, fizéssemos o contrário? E se, em vez de exigir uma resposta do corpo, aprendêssemos a ouvi-lo? E se, em vez de buscar a perfeição do movimento, investigássemos a experiência de estar em movimento?"",""Para mim, essa prática tornou-se uma espécie de meditação em movimento. Um espaço de encontro consigo mesmo. Um momento para suspender, por um instante, tudo aquilo que aprendemos sobre como um corpo deveria ser, como deveria se mover, como deveria funcionar. E começar uma investigação. Não para chegar a um movimento certo. Mas para descobrir o que é possível."",""Foi então que percebi que poderia reunir três mundos que haviam atravessado minha vida: a dança, a prática meditativa e a Educação Somática. Dessa interseção nasceu o Biostretch. Um método vivo."",""[SILVER]Vivo porque não termina quando a prática termina."",""Aquilo que percebemos durante um encontro pode atravessar a porta da sala e acompanhar-nos para a vida. Pode transformar a maneira como caminhamos, sentamos, respiramos, trabalhamos, dançamos, descansamos. Pode trazer mais conforto, facilidade e eficiência para os movimentos mais simples, justamente aqueles que repetimos todos os dias sem sequer perceber."",""[GOLD]No Biostretch, consciência é a chave."",""Porque não é apenas o movimento que fazemos que importa. É a qualidade com que ele acontece. É o que acontece antes do movimento. É o que percebemos enquanto ele acontece. É aquilo que muda quando deixamos de lutar contra o corpo e começamos a conversar com ele."",""Talvez você tenha passado a vida inteira tentando fazer seu corpo obedecer.\nE se agora fosse o momento de escutá-lo? É essa investigação que proponho nas aulas de Biostretch. Um convite para desacelerar, para sentir, para respirar. Para soltar o que já não precisa ser sustentado. Para descobrir caminhos que estavam ali o tempo todo, esperando apenas que você prestasse atenção."",""Venha experimentar. Talvez você não descubra apenas uma nova maneira de se mover."",""[GOLD]Talvez descubra uma nova maneira de estar no próprio corpo."",""[SIGNATURE]Safia""]","[""It all started in New York."",""I was looking for new ways to express dance. I wanted to go beyond what I already knew, to cross the borders of the body I had learned to master. And that's how I arrived in the Big Apple. I went to study modern dance, specifically an approach called Release Technique."",""[SILVER]And then, everything I knew about dance began to crumble."",""I came from classical ballet, a universe of precise forms, codified movements, carefully constructed lines, muscles trained to obey. In Release, it was almost the opposite. Movement didn't need to be imposed on the body. It could be born within it."",""A small impulse, a shift in weight, a breath, a relationship with gravity, and something would begin to move. The body seemed to find its own paths. The skeleton, our most basic and profound structure, became the starting point for endless possibilities."",""It was difficult. And deeply thought-provoking."",""My body was still trapped in ballet. It took me months just to be able to release my stomach. To breathe more naturally. To allow the body to stop being permanently prepared to execute and simply begin to feel. It was a deconstruction."",""[GOLD]A dive into the unknown."",""It was during this period that I was introduced to different methods of Somatic Education. I fell in love immediately."",""I began seeking out these practices everywhere, in every class I could find. And little by little, I started to realize something that would forever change my relationship with movement: maybe the body didn't need more effort. Maybe it needed more listening."",""These practices, usually gentle with the body, start from a powerful idea: there is an inherent bodily intelligence within us. And when we learn to listen to it, when we develop movement awareness, we open paths to more health, freedom, and presence."",""First, I realized how essential this was for dancers. Then, I realized it was essential for everyone. For those who spend hours in front of a computer. For those who work standing up. For those who practice sports. For those who feel pain, tension, or limitations. For those who simply wish to know their own body better and discover a freer way to move through life."",""[SILVER]But there was yet another discovery."",""The more I practiced, the more I realized that this work wasn't just about the body. It challenged some of the pillars upon which we build modern life: effort, competence, productivity, efficiency, and control. We live in a culture that teaches us to do more, faster, better. To control. To overcome. To conquer."",""What if, for a few moments, we did the opposite? What if, instead of demanding a response from the body, we learned to listen to it? What if, instead of seeking the perfection of movement, we investigated the experience of being in motion?"",""For me, this practice became a kind of moving meditation. A space of encountering oneself. A moment to suspend, for an instant, everything we learned about how a body should be, how it should move, how it should function. And to begin an investigation. Not to arrive at a right movement. But to discover what is possible."",""It was then I realized I could bring together three worlds that had crossed my life: dance, meditative practice, and Somatic Education. From this intersection, Biostretch was born. A living method."",""[SILVER]Living because it doesn't end when the practice ends."",""What we perceive during a session can cross the room's door and accompany us into life. It can transform the way we walk, sit, breathe, work, dance, rest. It can bring more comfort, ease, and efficiency to the simplest movements, precisely those we repeat every day without even noticing."",""[GOLD]In Biostretch, awareness is key."",""Because it's not just the movement we make that matters. It's the quality with which it happens. It's what happens before the movement. It's what we perceive while it happens. It's what changes when we stop fighting against the body and start conversing with it."",""Perhaps you've spent your entire life trying to make your body obey.\nWhat if now was the moment to listen to it? That is the investigation I propose in Biostretch classes. An invitation to slow down, to feel, to breathe. To release what no longer needs to be held. To discover paths that were there all along, just waiting for you to pay attention."",""Come and try it. Perhaps you won't just discover a new way to move."",""[GOLD]Perhaps you will discover a new way to be in your own body."",""[SIGNATURE]Safia""]","[""Alt startet i New York."",""Jeg var på utkikk etter nye måter å uttrykke dans på. Jeg ønsket å gå utover det jeg allerede visste, å krysse grensene til den kroppen jeg hadde lært meg å mestre. Og det var slik jeg havnet i The Big Apple. Jeg dro for å studere moderne dans, nærmere bestemt en tilnærming kalt Release Technique."",""[SILVER]Og da begynte alt jeg visste om dans å smuldre opp."",""Jeg kom fra klassisk ballett, et univers av presise former, kodifiserte bevegelser, nøye konstruerte linjer, muskler trent til å adlyde. I Release var det nesten stikk motsatt. Bevegelsen trengte ikke å bli påtvunget kroppen. Den kunne fødes innenfra."",""En liten impuls, en vektoverføring, et pust, et forhold til tyngdekraften, og noe begynte å bevege seg. Kroppen virket å finne sine egne veier. Skjelettet, vår mest grunnleggende og dypeste struktur, ble utgangspunktet for uendelige muligheter."",""Det var vanskelig. Og dypt tankevekkende."",""Kroppen min var fortsatt fanget i balletten. Det tok meg måneder bare å klare å slippe magen. Å puste på en mer naturlig måte. Å tillate at kroppen sluttet å være permanent forberedt på å prestere og i stedet, rett og slett, begynte å føle. Det var en dekonstruksjon."",""[GOLD]Et dykk ut i det ukjente."",""Det var i denne perioden jeg ble introdusert for ulike metoder innen somatisk utdanning. Jeg forelsket meg umiddelbart."",""Jeg begynte å søke etter disse praksisene overalt, i alle klasser jeg kunne finne. Og litt etter litt begynte jeg å innse noe som for alltid ville endre mitt forhold til bevegelse: kanskje kroppen ikke trengte mer anstrengelse. Kanskje den trengte mer lytting."",""Disse praksisene, som oftest er milde mot kroppen, tar utgangspunkt i en kraftfull idé: det finnes en iboende kroppslig intelligens i oss. Og når vi lærer å lytte til den, når vi utvikler bevissthet om bevegelse, åpner vi veier til mer helse, frihet og tilstedeværelse."",""Først forsto jeg hvor essensielt dette var for dansere. Deretter forsto jeg at det var essensielt for alle. For de som tilbringer timer foran en datamaskin. For de som jobber stående. For de som driver med sport. For de som føler smerte, spenning eller begrensninger. For de som rett og slett ønsker å kjenne sin egen kropp bedre og oppdage en friere måte å bevege seg gjennom livet på."",""[SILVER]Men det var enda en oppdagelse."",""Jo mer jeg praktiserte, jo mer forsto jeg at dette arbeidet ikke bare handlet om kroppen. Det stilte spørsmål ved noen av bærebjelkene vi bygger det moderne livet på: innsats, kompetanse, produktivitet, effektivitet og kontroll. Vi lever i en kultur som lærer oss å gjøre mer, raskere, bedre. Å kontrollere. Å overvinne. Å erobre."",""Hva om vi, for et lite øyeblikk, gjorde det motsatte? Hva om vi, i stedet for å kreve et svar fra kroppen, lærte oss å lytte til den? Hva om vi, i stedet for å søke etter bevegelsens perfeksjon, utforsket selve opplevelsen av å være i bevegelse?"",""For meg ble denne praksisen en slags meditasjon i bevegelse. Et rom for å møte seg selv. Et øyeblikk for å suspendere, bare for et sekund, alt vi har lært om hvordan en kropp bør være, hvordan den bør bevege seg, hvordan den bør fungere. Og for å begynne en utforskning. Ikke for å komme frem til en riktig bevegelse. Men for å oppdage hva som er mulig."",""Det var da jeg innså at jeg kunne samle tre verdener som hadde krysset livet mitt: dans, meditativ praksis og somatisk utdanning. Fra dette krysningspunktet ble Biostretch født. En levende metode."",""[SILVER]Levende fordi den ikke slutter når praksisen er over."",""Det vi oppfatter under et møte kan krysse dørstokken og følge oss ut i livet. Det kan forandre måten vi går, sitter, puster, jobber, danser, hviler på. Det kan bringe mer komfort, letthet og effektivitet til de enkleste bevegelsene, nettopp de vi gjentar hver dag uten en gang å legge merke til det."",""[GOLD]I Biostretch er bevissthet nøkkelen."",""For det er ikke bare den bevegelsen vi gjør som betyr noe. Det er kvaliteten den skjer med. Det er det som skjer før bevegelsen. Det er det vi oppfatter mens den skjer. Det er det som endrer seg når vi slutter å kjempe mot kroppen og begynner å snakke med den."",""Kanskje har du brukt hele livet på å prøve å få kroppen din til å adlyde.\nHva om det nå var på tide å lytte til den? Det er denne utforskningen jeg foreslår i Biostretch-klassene. En invitasjon til å sakke farten, til å føle, til å puste. Til å slippe det som ikke lenger trenger å bli holdt fast i. Til å oppdage veier som har vært der hele tiden, og bare ventet på at du skulle følge med."",""Kom og prøv. Kanskje vil du ikke bare oppdage en ny måte å bevege deg på."",""[GOLD]Kanskje vil du oppdage en ny måte å være i din egen kropp på."",""[SIGNATURE]Safia""]"
programs.biostretch.origin.photo_url,"/images/creator-biostretch.jpeg","/images/creator-biostretch.jpeg","/images/creator-biostretch.jpeg"
programs.biostretch.origin.read_less,"Recolher","Collapse","Lukk"
programs.biostretch.origin.read_more,"Ler história completa","Read full story","Les hele historien"
programs.biostretch.origin.title,"A Origem do Biostretch","The Origin of Biostretch","Opprinnelsen til Biostretch"
